聚类数,轮廓系数,戴维森堡丁指数
2,0.22912671755174743,1.7983533775582912
3,0.2336913965171197,1.4604329643161826
4,0.23596459128422834,1.0418647250164295
5,0.20586803434015682,1.230059938271919
6,0.18745539615848858,1.2961520210362156
